1,AL,Alabama,"1,450"
2,AK,Alaska,260
4,AZ,Arizona,"3,100"
5,AR,Arkansas,940
6,CA,California,"27,180"
8,CO,Colorado,"4,030"
9,CT,Connecticut,"2,290"
10,DE,Delaware,430
11,DC,District of Columbia,"1,270"
12,FL,Florida,"11,430"
13,GA,Georgia,"6,270"
15,HI,Hawaii,480
16,ID,Idaho,930
17,IL,Illinois,"9,390"
18,IN,Indiana,"3,190"
19,IA,Iowa,"1,900"
20,KS,Kansas,"1,840"
21,KY,Kentucky,"1,730"
22,LA,Louisiana,"1,820"
23,ME,Maine,700
24,MD,Maryland,"3,650"
25,MA,Massachusetts,"5,000"
26,MI,Michigan,"5,510"
27,MN,Minnesota,"5,420"
28,MS,Mississippi,910
29,MO,Missouri,"4,400"
30,MT,Montana,620
31,NE,Nebraska,"1,440"
32,NV,Nevada,"1,480"
33,NH,New Hampshire,840
34,NJ,New Jersey,"5,070"
35,NM,New Mexico,760
36,NY,New York,"18,460"
37,NC,North Carolina,"5,260"
38,ND,North Dakota,660
39,OH,Ohio,"7,640"
40,OK,Oklahoma,"1,450"
41,OR,Oregon,"2,760"
42,PA,Pennsylvania,"8,700"
44,RI,Rhode Island,580
45,SC,South Carolina,"2,070"
46,SD,South Dakota,600
47,TN,Tennessee,"3,150"
48,TX,Texas,"11,780"
49,UT,Utah,"2,540"
50,VT,Vermont,530
51,VA,Virginia,"5,820"
53,WA,Washington,"4,250"
54,WV,West Virginia,490
55,WI,Wisconsin,"4,750"
56,WY,Wyoming,290